link,upload,duration,views,likes,comments,resend,saves,description
https://www.tiktok.com/@ness_opo/video/7287769186955267334,2023-10-09 04:46:35,98,274,4,0,0,0,#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7287574444921425158,2023-10-08 16:10:52,60,5333,324,0,0,36,##🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7287410868000738566,2023-10-08 05:36:08,28,13700,719,2,1,129,#NesS🎧🎵 #🎧 #ness_opo #bassboosong #headphones #aveeplayer #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7287228718743817478,2023-10-07 17:49:15,43,38900,2743,1,6,360,😈😈👿👿🔥🔥#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7286848760733355270,2023-10-06 17:14:52,45,9843,625,4,0,114,😈😈😈🎧🎵🎵#🎧 #NesS🎧🎵 #ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7286136615548751110,2023-10-04 19:11:20,60,9361,603,4,2,87,รู้สึกหล่อเท่ยังไงไม่รู้#🎧 #NesS🎧🎵 ##ness_opo #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #slowed #phonk #top 
https://www.tiktok.com/@ness_opo/video/7285749599044652293,2023-10-03 18:09:32,59,1065,111,0,0,16,เพลงอะไรลืม#aveeplayer #headphones #bassboosong #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7285337746871225605,2023-10-02 15:31:20,60,19000,1530,3,7,259,😈😈🎧🎵#phonk #🎧 #slowed #NesS🎧🎵 #ness_opo #อย่าปิดการมองเห็น #aveeplayer #aveeplayer #headphones #bassboosong 
https://www.tiktok.com/@ness_opo/video/7284794429662121222,2023-10-01 04:23:01,72,22000,1502,9,7,333,ตอบกลับ @gamer_7544ต่อให้แล้วครับฟู่ววว~~ #bassboosong #headphones #aveeplayer #อย่าปิดการมองเห็น #ness_opo #NesS🎧🎵 #slowed #🎧 #brazilian #typ #musica #viral #brazil #tending #tending #TikTok #foryou #foryou #funk #sdx_bass #top #phonk 
https://www.tiktok.com/@ness_opo/video/7284624989893004549,2023-09-30 17:25:28,19,2832,293,1,1,44,💀🎧🎵🎵#🎧 #NesS🎧🎵 #ness_opo #อย่าปิดการมองเห็น #aveeplayer #headphones #bassboosong 
https://www.tiktok.com/@ness_opo/video/7284624453391240453,2023-09-30 17:23:23,19,6214,241,1,1,36,💀🎧🎵🎵#🎧 #NesS🎧🎵 #ness_opo #อย่าปิดการมองเห็น #aveeplayer #headphones #bassboosong 
https://www.tiktok.com/@ness_opo/video/7284623773293219078,2023-09-30 17:20:45,19,6308,244,0,0,34,💀🎧🎵🎵#phonk #top #sdx_bass #funk #foryou #bassboosong #headphones #aveeplayer #TikTok #tending #brazil #viral #อย่าปิดการมองเห็น #musica #typ #brazilian #slowed #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7284529881457773830,2023-09-30 11:16:25,30,1322,119,3,0,15,🎧🎧🎧💀#🎧 #NesS🎧🎵 #ness_opo #slowed #brazilian #typ #musica #อย่าปิดการมองเห็น #viral #brazil #tending #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #top #phonk 
https://www.tiktok.com/@ness_opo/video/7284525605348003078,2023-09-30 10:59:50,30,6411,253,3,2,40,💀🎧🎵🎵#phonk #top #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #tending #brazil #viral #อย่าปิดการมองเห็น #typ #musica #brazilian #slowed #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7284523188065750278,2023-09-30 10:50:26,30,1832,170,0,1,22,💀🎧🎵#🎧 #NesS🎧🎵 #ness_opo #brazilian #slowed #musica #typ #อย่าปิดการมองเห็น #viral #brazil ##tending #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #top #phonk 
https://www.tiktok.com/@ness_opo/video/7284180976039759110,2023-09-29 12:42:29,77,7927,489,3,5,54,หิวข้าว#phonk #top #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #tending #brazil #viral #อย่าปิดการมองเห็น #typ #musica #slowed #brazilian #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7283862788320070917,2023-09-28 16:07:44,107,18200,1326,3,6,257,💀💀💀💀🎧🎵🎵#🎧 #NesS🎧🎵 #ness_opo #brazilian #musica #slowed #typ #อย่าปิดการมองเห็น #viral #brazil #tending #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #top #phonk 
https://www.tiktok.com/@ness_opo/video/7283586394797165830,2023-09-27 22:15:14,67,11700,921,0,5,92,💀💀💀💀➡️😈😈😈😈#phonk #top #sdx_bass #funk #foryou #headphones #bassboosong #tending #aveeplayer #TikTok #tending ##brazil #viral #อย่าปิดการมองเห็น #typ #slowed #musica #brazilian #NesS🎧🎵 #ness_opo #🎧 
https://www.tiktok.com/@ness_opo/video/7283166165206174982,2023-09-26 19:04:30,60,10100,714,2,1,113,มันเข้ากับซินดี#🎧 #NesS🎧🎵 #ness_opo #brazilian #musica #slowed #typ #อย่าปิดการมองเห็น #viral #brazil #TikTok #aveeplayer #tending #bassboosong #headphones #foryou #funk #sdx_bass #top #phonk 
https://www.tiktok.com/@ness_opo/video/7282945261498813701,2023-09-26 04:47:15,135,33100,2440,1,14,238,💀💀💀💀#top #sdx_bass #funk #foryou ##headphones ##bassboosong #tending #aveeplayer #TikTok #brazil #viral #อย่าปิดการมองเห็น #typ #musica #slowed #musica #brazilian #ness_opo #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7282778585536990469,2023-09-25 18:00:28,61,8309,631,2,2,75,💀💀💀#🎧 #NesS🎧🎵 #phonk #ness_opo #slowed #brazilian #musica #typ #อย่าปิดการมองเห็น #viral #brazil #TikTok #aveeplayer #tending #bassboosong #headphones #foryou #funk #sdx_bass #top 
https://www.tiktok.com/@ness_opo/video/7282398361632689413,2023-09-24 17:25:02,49,6531,243,0,3,37,💀💀💀💀#top #sdx_bass #funk ##foryou #headphones #bassboosong #tending #aveeplayer #TikTok #brazil #viral #อย่าปิดการมองเห็น #typ #musica #brazilian #slowed #ness_opo #phonk #NesS🎧🎵 #🎧 
